"name","id"
"Kobelco CH Wire","78"
"Koblenz","1547"
"Kodaco","462"
"Kohler","1639"
"Kolder","478"
"Kolon","666"
"Kolon Glotech","501"
"Komax","279"
"Komyo America","735"
"Kongsberg Automotive","224"
"Kormex","966"
"Kostal","3311"
"Kraem","153"
"Kromberg","762"
"Kros Otomotiv","1651"
"Krown","3052"
"KSS","3887"
"Kuamex Food","940"
"KUAMEX Foods","648"
"Kubota","3650"
"Kuehne & Nagel","921"
"Kuehne + Nagel","3477"
"Kuka / Gujia","1621"
"Kuka Home","1857"
"Kuka Home N1","3114"
"Kuka Home N2","3710"
"Kuka Home N3","3709"
"Kunhwa","343"
"Kuriyama","282"
"Kurota","303"
"kurtz ersa","3575"
"KUS","1662"
"KW","1189"
"KW Logistica","557"
"Kwang Jin","173"
"Kwang Myung (kmin)","672"
"Kyomex","694"
"La Esperanza","313"
"La Europea","95"
"La Nogalera","1766"
"La Termoplastic","382"
"Laboratorios Sanfer","3772"
"Ladesa","1294"
"Laerdal","1461"
"LAI","3068"
"Lakeland","3055"
"Laminados Saltillo","1216"
"Landsberg Orora","1031"
"Laredo Freight","1816"
"Lauak","1287"
"Lava RE Mexico","2157"
"LaZboy","3733"
"LCE","3572"
"LD Logistica","3363"
"Leach Aerospace (Visual City)","211"
"Leadgo","1883"
"Lear","470"
"Leche Lala","53"
"Leewha","652"
"Legget & Platt","154"
"Lego","451"
"Lego II","875"
"Legrand","3247"
"Leili","3684"
"Lennox","942"
"Lennox Commercial","3325"
"Lenovo","1478"
"Lenoxx","1157"
"Lens Technology","3288"
"Leoni","320"
"LG","2813"
"LG - Magna","3061"
"LG Electronics","3674"
"LG Magna","3673"
"LG VS","3349"
"LGMG","3522"
"Liant","4007"
"Lianxiang","1859"
"Liberty Steel","393"
"Libus","3013"
"Ligon Hydraulic","3938"
"Likom Mexico","2276"
"Limex","228"
"Linc","533"
"Lincoln Electric","3807"
"Linde + Wiemman","3861"
"Line - X","2671"
"Lingong","3214"
"Link Ev Electric","3069"
"Lisi Aerospace","1283"
"Liteon","120"
"Litografia de Mexico","1974"
"Liverpool","403"
"Living Space","3044"
"Living Space (Tecma)","2003"
"Lizhong","3115"
"LK Machinery","3880"
"Logan","2137"
"Logen Group","1801"
"Logicom","4070"
"Logis All","1477"
"Logisinergia Roug","643"
"Logistica Flexible","2067"
"LogisticPlus","3751"
"Logisticsa Alfin","172"
"Logisticsa Miramar","688"
"Logistik","1689"
"Logistorage","853"
"Logzmo","1658"
"Longda SH","2238"
"Longterm","4003"
"Lotte","939"
"LTP Group","2328"
"Luan Technology","3869"
"Lucky Harvest","2241"
"Luk Schaffler","38"
"Luminaire","3074"
"Lunela","2673"
"Lutron","1588"
"Lynn Concepts","3910"
"Mabe","3117"
"Mabuchi","864"
"Mabushi Motors","33"
"MacAuto","1424"
"Mack Tecnology","2164"
